Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2132,2276,,,,
Africa Eastern and Southern,AFE,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,152300,160400,157100,155800,150400,173500,193500,161800,170300,188200,204800,211800,206700,208000,207500,211900,195400,203000,202200,220100,232100,227200,220400,233800,233400,212500,231500,259600,253900,268400,282913,288922,267907,289028,300359,321298,319498,359120,318638,327145,470912.3001,500629.9466,514462.2894,548834.772,534810.3035,556341,562927,630147,705127.4846,717795.3,286064.1974,399895.848,
Afghanistan,AFG,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,4000,4700,4800,3700,4300,4700,4500,4900,4800,4900,4200,4200,5400,5700,6200,6400,5800,6000,5900,5200,5300,5300,5300,5100,7000,7300,7500,4600,1900,3400,3409,,,,,,,,,,21677,25021,17775,21696,25920,23532,22770,24207,10454,7334,4635.714,2865.737,
Africa Western and Central,AFW,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,67700,67600,67600,72400,69700,79700,88300,100800,105700,112800,116600,122800,116700,121300,119100,122300,109400,103600,98300,91400,85000,94700,81900,68900,70100,66400,62100,78000,78400,69400,71122,60104,52346,49482,56301,,,,,,120773.32,138169.4979,146632.9603,155038,145526.8233,164614,157788,151203,157126.7265,158874.79,92611.349,134532.013,
Angola,AGO,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,2600,4800,5000,11900,12800,15000,13900,22400,10700,13100,11100,11100,11000,6800,6900,7000,6900,5600,7600,7300,7700,7300,7400,5100,4399,4354,4343,4633,4849,4948,4965,5277,3361,3236,17060,12282,13072,14496,13716,13116,15482,13494,13978,13647,3792,3805,
Albania,ALB,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,600,1400,1900,1100,2700,3885,3974,3762,3800,4104,4309,4481,4930,5058,5140,9412,10373.21094,10309.17914,11196,1992,,306,1904,2935,2558,1274,1471,
Andorra,AND,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,145300,151200,159800,173400,201400,215500,252000,274500,295700,314400,330000,341600,324500,352300,349000,344800,340700,334500,355500,356900,354400,319800,370600,390200,405800,388600,408400,407400,402500,441200,470300,470936,473898,493857,553147,431300,471714,516679,504211,811221,1065038.011,1093318.561,1159025.939,1222183.5,1289638.767,1375862,1476812,1503553.38,1539592.754,1599362.272,664879.575,920600.238,
United Arab Emirates,ARE,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,4700,5400,6200,6300,7200,8300,9500,10000,8700,9500,10100,10500,12200,12800,15100,16000,18800,19400,26300,30100,34000,34200,38000,39000,41100,44400,48330,50783,54952,71224,87217,,,,,170588,240855.107,269521,311758,327076,352224,437638,463947,459137,455956,426157.272,185260,234612,
Argentina,ARG,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,71700,75600,79000,71100,79000,89800,90000,93600,96500,103700,114400,113800,103900,109100,101400,100500,102300,111800,106200,101600,114000,78500,86300,83300,99500,112400,131400,171600,144600,183600,168815,124493,113178,91657,90518,81298,74162,79465,74649,74546,92847.50654,90214.52053,101716.2689,145136.0207,134521,145585,149334,146631,161862,163106,27447,54218,
Armenia,ARM,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,4300,4500,2900,4406,2804,2997,3842,5657,5939,6177,5975,6681,7632,8761,5561,6043,852,0,,,,814,2133,705,1598,
American Samoa,ASM,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3420.570755,3577.613861,3963.003648,8580,9144,,,,,,,,
Antigua and Barbuda,ATG,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,21300,35800,40200,45900,55500,65000,65000,61700,58000,58000,67300,68200,70800,74000,77700,77700,69300,70100,68200,62070,72001,63361,67163,25700,26985,26175,27746,28356,26371,39865,36533.604,33606.03922,52572,46404,40047,40928,24019,23206.96627,21930.58313,64,2105,
Australia,AUS,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,283300,288000,283800,256500,18700,18700,29300,246600,259100,259000,257700,230800,222700,230500,214200,238600,266600,283300,294400,230300,255900,283600,324600,347700,405600,396100,371200,394500,378200,384800,382514,388734,536867,529648,324939,342509,352909,353546,393363,403256,572906,593145.0025,622917,641451,664970,668961,682937,672349,665384,684170,310837,383008,
Austria,AUT,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,14900,16500,18400,20900,20000,21000,23100,24000,25800,26100,27200,27800,36400,37700,38000,37800,37700,38700,40100,39900,42000,47400,63600,73000,87700,109000,118100,121300,127900,127200,138700,133561,135516,128449,137049,141968,149512,151070,150738,138942,176195,166729.9973,162715.736,166251,162576,152056,149030,156761,130260,330226,121668,161093,
Azerbaijan,AZE,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22200,22200,19600,19500,17200,10100,8500,8012,7922,8175,9195,11090,12470,12777,13039,12008,10264,9885,15082,16597,15886,21910,23781,24009,20699,19960,28974,11648,15844,
Burundi,BDI,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,300,300,400,400,500,500,500,500,600,600,400,900,900,900,900,900,900,900,900,1000,1000,1400,1400,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,40800,40700,41000,40400,37300,36100,39900,42800,46000,48000,47800,43000,40400,39100,40400,43200,45300,45900,51200,59700,66500,70000,77100,109100,118700,141200,164700,182700,213000,233300,225906,178331,133682,132779,154218,151939,158016,173818,179019,249997,127677.5322,131577,132099.3425,130230,132976.5296,141116,147324,145540,140674,137206.817,57072.125,73673.104,
Benin,BEN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,1400,1300,1000,1100,1000,1100,1200,1100,1100,1200,1100,1600,2000,2000,2000,2100,2700,2600,2600,1100,500,1200,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,,,,,,,,,1255.454545,1381,1381,1728,648,1209,10,,,,,,
Burkina Faso,BFA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,1600,1500,1200,1300,1300,1400,1600,1500,1600,1600,2300,2200,2300,2300,2300,2400,3600,2700,2800,2800,2200,2900,2800,3000,3000,3100,3300,1800,1800,3300,3368,1983,1257,1285,1415,1471,1512,1614,1413,1433,4235,3983.150259,3856.224563,3780,3672,3875,3861,3863,3988,4105,1790,3007,
Bangladesh,BGD,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,13500,13000,14200,13400,13000,13700,14800,13500,13400,13700,14300,11800,13600,15000,15400,13100,14600,13000,13800,14600,15600,13000,12600,13100,12800,11900,5900,6313,6486,6464,7165,7403,7399,7971,11139,11308,16399,19299.82618,26535,26996.25441,59064,65364,55864,59728,70503,53061,68351,42827.89,50991,
Bulgaria,BGR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,17900,17800,18400,19000,19800,20100,22000,22200,22800,26600,27000,27000,34500,38000,39100,37000,38700,40000,39800,35900,37200,15300,16500,17300,16900,14700,13600,12700,14600,15200,12158,6687,2252,4577,7848,9691,12471,12221,15974,11237,11321,12297,11826,11736,11755,11768,12187,11748,11435,10111,6295,464,
Bahrain,BHR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,8300,7700,8300,8800,4700,5400,6200,6300,7200,8300,9500,10000,8700,9500,10100,10500,9600,8800,9400,10000,10900,10000,12900,14700,15200,13400,15400,14400,12300,20900,21303,20492,19752,28508,32488,,,,,69808,62473,60778.71626,63711.97917,52452,55980,57444,55592,54474,57094,57321,17591,29475,
Bahamas, BHS,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,15900,16000,16500,17200,29900,32000,8200,9200,9100,8400,18100,18000,18300,19500,20200,18900,18900,16700,17700,17700,19300,20100,9100,9300,31100,31416,29395,26493,24455,29817,33211,33723,34402,33433,30267,26395,28393,30640,34188,53366,48535,49095,48017,54000,47733,31284.792,27092.684
Bosnia and Herzegovina,BIH,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,4300,4768,4530,4394,4570,,,,,1004,1359,1573.549757,1060.065672,750.069403,552,420,81,,,,108,44,,
Belarus,BLR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35300,35300,35300,31800,5600,5700,6100,5772,5891,5545,6047,6211,5407,5646,6210,6371,5868,12101,14378,14608,17820,21168,22939,26857,29562,31676,35741,16611,12432,
Belize,BLZ,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19855,31755,59089,71401,112760,120072,121581,141319,125681.6909,141329,130792.986,95608.657,
Bermuda,BMU,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
